ActualOperatingYear,ActualorExpectedCompletionYear,CarbonMonoxideCO,Classification,CoalplantCO2eequivalency,Gas-poweredvehiclesequivalency,GreenhouseGasesCO2e,HazardousAirPollutantsHAPs,HazardousAirPollutantsHAPspotentiallbsperyear,IndustrySector,MortalitycostofadditionalCO2edeaths,NitrogenOxidesNOx,OperatingStatus,OperatingStatusSourceDocuments,OperatingStatusSourceDocuments_OLD,ParticulateMatterPM25,PermittingandEmissionsAccountingNotes,ProjectDescription,ProjectType,Published,ResearchNotes,SocialcostofadditionalCO2eLowerEstimate,SocialcostofadditionalCO2eUpperEstimate,SulfurDioxideSO2,VolatileOrganicCompoundsVOC,created_by,id,id_qaqc,modified_by,project_name,xata,ProductType,ConstructionStatusLastUpdated,ProjectCostmillion,CurrentExpectedOperatingYear,OriginalExpectedOperatingYear,TotalWetlandsAffectedPermanentlyacres,TotalWetlandsAffectedTemporarilyacres,PlasticsInventory,ConstructionStatusLastChecked,PlasticsInventory_ToAdd
2016,2016,408.61,Expansion,0.48,398696.0,1973299.0,166.05,332100.0,Petrochemicals and Plastics,404.0,135.18,Operating,[],,38.5,"PSD-LA-768 (issued 3/27/2013), PSD-LA-168 (M1) (issued 10/14/2013), PSD-LA-768 (M2) (issued 1/20/2015), PSD-LA-768 (M3) (issued 1/7/2016), PSD-LA-768 (M4) (issued 11/28/2018), PSD-LA-768 (M5) (issued 1/25/2019), PSD-LA-768 (M6) (issued 9/6/2019); AS 6/5/23 - emissions ""before"" cogen boiler mod
https://edms.deq.louisiana.gov/app/doc/view?doc=13603508

co2 = 1,977,559 (pg 3 of app) - 4260 = 1,973,299
----
CM 2/13/23: emissions from 1340-00352-V9 application p3","Construction of a new 2,780 tpd ammonia production facility at the Cornerstone Chemical Company Fortier Manufacturing Complex.",Ammonia or Fertilizer,True,"News article, available at: https://www.nola.com/news/business/article_c8260407-b973-5154-b432-88088756431e.html ",91297510.0,340127978.0,4.71,147.06,EIP Test Account,2733,2733,Keene Kelderman,Dyno Nobel - New Ammonia Production Facility,"{'createdAt': '2021-05-24T22:56:59.087Z', 'updatedAt': '2024-07-30T17:44:01.09206Z', 'version': 47}",Explosives,,850.0,,,,,,,
,2023,178.4,New,0.13,111295.0,550839.0,,,Ammonia and Synthetic Fertilizers,113.0,34.96,Canceled,[],,12.35,"PSD-LA-815 (issued 12/20/2016, extended on 6/11/2018 and 4/17/2020); application for a third extension (until 12/20/2022) submitted 5/10/2021; 1120-00003-V2 (application for TV renewal submitted 6/17/2021); Emissions taken from 1120-00003-V2 application, pg. 19 (proposed project emissions). Criteria emissions have increased from initial permitting.","Construction of a new ammonia production facility in Grant Parish, which would be capable of producing 1,500 metric tons of liquid ammonia per day.",Ammonia or Fertilizer,True,"CM 1.31.24: couldn't verify that ammonia would be used for fertilizer, left as is

ammoniaindustry.com/topchem-cancels-pollock-plant/

Permits rescinded in 12/22. application states that ""the facility is requesting to rescind the TV and PSD Permit *as the facility has yet to be constructed and has not begun operations at the site*."" However, LDEQ's response states that ""according to the application, the facility will not be constructed.""

Site was inspected on 3/2/2020 and it was determined that construction has yet to commence.
Financial closing expected in mid-2020 and construction was expected to commence in 2021. (Second Construction Extension, issued 4/17/2020) Site is listed as for sale. Personal communication with Melanie Joffrion, Research Analyst for Entergy, on 6/3/2020 confirmed that project is moving forward and that the listing is intended to draw investors https://louisianasiteselection.com/Property/Detail/5327/Pollock-Ammonia-Site",25485357.0,94945447.0,1.09,9.03,EIP Test Account,2734,2734,Keene Kelderman,TopChem Ammonia Plant - Initial Construction,"{'createdAt': '2021-05-24T22:56:59.087Z', 'updatedAt': '2024-11-22T03:21:04.896156Z', 'version': 52}",Ammonia Fertilizer,2023-03-09T00:00:00Z,,,2023,,,,,
,2022,5.1,New,,,,,,Ammonia and Synthetic Fertilizers,,3.9,Canceled,[],,0.0,"Emissions taken from Application Review (9/25/2017), page 28. NOx emissions are for NO2. Application for extension to the deadline of construction submitted 7/15/2019, asking for an extension until 11/21/2021. The Combined Cycle Gas Turbine/Heat Recovery Steam Generator is a New Source, Clean Emissions Unit with an independent purpose and SIC Code and is required to have an ATC and PTO, but not a PSD or Title V permit; whereas all Emission Units of the adjacent Ammonia Plant are Exempt and/or Low Emitting Units, Exempt from ATC or air permit requirements. Commencement of construction deadline = 11/21/2019; new deadline = 11/21/2021; Unknown if the extension has been granted, all application docs received by FOIA","Installation of a 7.9 MW electric power generation system (combined cycle configuration), which will provide electrical power and steam to a new anhydrous ammonia manufacturing equipment located at the same site.",Associated Electricity Generation,True,"Emissions taken from Application Review (9/25/2017), page 28. NOx emissions are for NO2. Application for extension to the deadline of construction submitted 7/15/2019, asking for an extension until 11/21/2021. The Combined Cycle Gas Turbine/Heat Recovery Steam Generator is a New Source, Clean Emissions Unit with an independent purpose and SIC Code and is required to have an ATC and PTO, but not a PSD or Title V permit; whereas all Emission Units of the adjacent Ammonia Plant are Exempt and/or Low Emitting Units, Exempt from ATC or air permit requirements. Commencement of construction deadline = 11/21/2019; new deadline = 11/21/2021; Unknown if the extension has been granted, all application docs received by FOIA Emissions taken from Application Review (9/25/2017), page 28. NOx emissions are for NO2. Application for extension to the deadline of construction submitted 7/15/2019, asking for an extension until 11/21/2021. The Combined Cycle Gas Turbine/Heat Recovery Steam Generator is a New Source, Clean Emissions Unit with an independent purpose and SIC Code and is required to have an ATC and PTO, but not a PSD or Title V permit; whereas all Emission Units of the adjacent Ammonia Plant are Exempt and/or Low Emitting Units, Exempt from ATC or air permit requirements. Commencement of construction deadline = 11/21/2019; new deadline = 11/21/2021; Unknown if the extension has been granted, all application docs received by FOIA",,,0.8,1.6,EIP Test Account,2735,2735,Courtney Bernhardt,Taft Ammonia Fertilizer Plant - New Power Plant,"{'createdAt': '2021-05-24T22:56:59.087Z', 'updatedAt': '2024-11-21T19:14:04.741913Z', 'version': 7}",,,,,2022,,,,,
2018,2018,81.95,New,0.02,19082.0,94446.0,3.5,7000.0,Ammonia and Synthetic Fertilizers,19.0,37.83,Operating,"[{'id': 'pjc9fvsdd95ahcaq1h65q5fcc0', 'name': '2016.9.1_Nebraska Nitrogen Plant_Start of Construction Notification.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 37407, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/619mjp38kl77db3sk9s1tno3nk'}, {'id': 'i2c6t5evnh0rb59d2q2qvri05s', 'name': '2018.2.5_Nebraska Nitrogen Plant_Startup Notification.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 532378, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/kg5ik25rbl7kvcm09mr0c8hp04'}]","{'name': None, 'file_name': '2016.9.1_Nebraska Nitrogen Plant_Start of Construction Notification.pdf', 'url': 'https://api.oilandgaswatch.org/d/90/57/90577728dcef4b9d90b591a1f0a4d324.1639068040.pdf'}, {'name': None, 'file_name': '2018.2.5_Nebraska Nitrogen Plant_Startup Notification.pdf', 'url': 'https://api.oilandgaswatch.org/d/7d/3a/7d3ac7074d324cd7a3f2adf837de7c7f.1639068041.pdf'}",7.33,"CP15-077 (issued 8/16/2016), CP19-009 (issued 11/14/2019)

Emissions taken from 2019 fact sheet, pg 10, which addresses as-built changes (emissions reductions for all criteria except HAPs and SO2).
GHGs = -6,108 from initial permit issuance","Initial construction of a new anhydrous ammonia production facility with the capacity to produce up to 37,000 tons of ammonia from fracked gas every year and store up to 20,000 tons of ammonia on site.",Ammonia or Fertilizer,True,"Began operating in 2018, plans to finish construction of next phase in 2020 http://thenebraskasignal.com/index.php?option=com_content&view=article&id=4310:fortigen-update-given&catid=35:local-news&Itemid=54

No indication that a second phase was completed in 2020 (AS 12/9/2021) ",4369680.0,16279199.0,0.32,52.95,EIP Test Account,2736,2736,Keene Kelderman,Nebraska Nitrogen Plant - Initial Construction,"{'createdAt': '2021-05-24T22:56:59.087Z', 'updatedAt': '2024-07-30T17:44:02.686674Z', 'version': 48}",Ammonia Fertilizer,,,,,,,,,
,2025,134.67,New,0.09,71337.0,353072.0,5.04,10080.0,Liquefied Natural Gas (LNG),72.0,82.33,Canceled,[],,15.79,"144829 (issued 4/16/2020); FERC Docket No. CP16-480, NGA §3 (11/22/2019, vacated 4/15/2021); Criteria emissions are taken from TCEQ Permit no. 144829; GHGs from FERC EIS",Construction of a new 6 million tonnes per year liquefied natural gas export terminal.,LNG Export Terminal or Liquefaction Plant,True,cancelled on 3/23/2021 ,16335383.0,60857308.0,83.02,51.0,EIP Test Account,2737,2737,Alexandra Shaykevich,Annova LNG Terminal - Initial Construction,"{'createdAt': '2021-05-24T22:56:59.087Z', 'updatedAt': '2024-11-22T03:21:05.52457Z', 'version': 52}",,,,,2025,,,,,
2019,2019,41.4,Expansion,0.02,19049.0,94283.0,5.06,10120.0,Natural Gas,19.0,39.17,Operating,[],,4.69,"Minor plan approval issued on 3/30/2015 to make minor revisions to the leak detection and repair requirements at the Armagh Compressor Station, to be consistent with other recently issues plan approvals. Nine (9) extensions issued, most recently on 2/26/2019. Operating permit issued on 9/24/2019 and includes the Solar Titan 130 lean-premixed dry low-NOX natural gas-fired combustion turbine in the descroption; This permit incorporated the sources authorized under plan approval 32-00230B. Assumed source started operating in 2019 under TV permit, which incorporates PTE. Failed a state stack test inspection on 3/3/2017. Emisisons have been steadily rising since 2012. **Operating permit amended on 6/16/2020; not online, need to FOIA.*; Emissions taken from PA Bulletin (Vol 44, Issue 7).","Construction of one (1) Solar Titan 130 lean-premixed dry low-NOX natural gas-fired combustion turbine (to drive a centrifugal natural gas compressor) and other ancillary sources at the Armagh Compressor Station, an existing facility.",Compressor Station,True,"0.61 TPY single HAP for benzene. Minor plan approval issued on 3/30/2015 to make minor revisions to the leak detection and repair requirements at the Armagh Compressor Station, to be consistent with other recently issues plan approvals. Nine (9) extensions issued, most recently on 2/26/2019. Operating permit issued on 9/24/2019 and includes the Solar Titan 130 lean-premixed dry low-NOX natural gas-fired combustion turbine in the descroption; This permit incorporated the sources authorized under plan approval 32-00230B. Emissions taken from PA Bulletin (Vol 49, Issue 15). Assumed source started operating in 2019 under TV permit, which incorporates PTE. Failed a state stack test inspection on 3/3/2017. Emisisons have been steadily rising since 2012. **Operating permit amended on 6/16/2020; not online, need to FOIA.* 0.61 TPY single HAP for benzene. Minor plan approval issued on 3/30/2015 to make minor revisions to the leak detection and repair requirements at the Armagh Compressor Station, to be consistent with other recently issues plan approvals. Nine (9) extensions issued, most recently on 2/26/2019. Operating permit issued on 9/24/2019 and includes the Solar Titan 130 lean-premixed dry low-NOX natural gas-fired combustion turbine in the descroption; This permit incorporated the sources authorized under plan approval 32-00230B. Emissions taken from PA Bulletin (Vol 49, Issue 15). Assumed source started operating in 2019 under TV permit, which incorporates PTE. Failed a state stack test inspection on 3/3/2017. Emisisons have been steadily rising since 2012. **Operating permit amended on 6/16/2020; not online, need to FOIA.*",4362138.0,16251103.0,10.45,19.1,EIP Test Account,2738,2738,Lottie Mitchell,Armagh Compressor Station - Expansion,"{'createdAt': '2021-05-24T22:56:59.087Z', 'updatedAt': '2024-07-30T17:44:04.163523Z', 'version': 45}",,,,,,,,,,
2019,2019,35.9,Expansion,,,,15.04,30080.0,Petrochemicals and Plastics,,22.8,Operating,[],,114.1,Emissions are the sum of X042-45 permits. PEKK Expansion: emissions are the sum of permit applications submitted 3/14/2016 and 4/18/2017 for the PEKK drying/production units. Latex expansion: emissions taken from permit application (submitted 7/29/2016).,Two expansion projects. The PEKK Expansion Project will allow the Axis Plant to produce wet and dry PEKK (polyetherketoneketone) polymer. The Latex Production Expansion project will allow the Plant to produce emulsion polymer latex (the emulsion polymer resins produced at the plant are used to manufacture PVC and other plastics products).,Other Organic Chemicals,True,"Production at the PEKK unit began 1/31/2019 http://lf.adem.alabama.gov/weblink/DocView.aspx?id=104270520&dbid=0
https://www.al.com/business/2019/03/arkema-celebrates-expansion-of-mobile-area-plant.html PEKK is a specialty polymer, see: https://www.solvay.com/en/chemical-categories/specialty-polymers",,,0.115,753.05,EIP Test Account,2739,2739,Alexandra Shaykevich,Axis Plant - PEKK and Latex Production Expansion,"{'createdAt': '2021-05-24T22:56:59.087Z', 'updatedAt': '2024-04-08T17:48:12.054584Z', 'version': 5}",Specialty Polymers,,,,,,,,,
2014,2014,159.93,Expansion,0.22,184981.0,915542.0,,,Petrochemicals and Plastics,187.0,49.92,Operating,[],,185.47,"PSDTX903M5 (issued 7/16/2012); 36644 (issued 7/16/2012, amended 7/20/2012, 7/23/2013, 11/17/2016, 2/15/2019, and 5/8/2020); GHGs taken from initial M5 permit. Criteria are the sum of emissions increases from the five TCEQ permit amendments listed above (calculations in S drive).",Construction of a 10th cracking furnace at the existing ethylene plant and modifications to existing equipment to supplement steam supplies. The furnace will be optimized to handle ethane gas. This expansion would increase the plant's ethylene production capacity to 2.87 billion pounds per year (more than 1 million metric tons per year).,Ethane Cracker,True,"According to the company's website, construction of the 10th cracking furnace was completed in 2014 (https://www.basf.com/us/en/who-we-are/organization/locations/featured-sites/Port-Arthur.html). ",42358864.0,157807534.0,23.15,46.04,EIP Test Account,2740,2740,Alexandra Shaykevich,BASF Ethylene Cracker Furnace Expansion,"{'createdAt': '2021-05-24T22:56:59.087Z', 'updatedAt': '2024-07-30T17:44:04.888177Z', 'version': 45}",Ethylene,,,,,,,,,
,2026,186.79,New,0.08,64805.0,320746.0,5.92,11840.0,Natural Gas,66.0,178.26,Proposed,"[{'id': 'm1fmqfl7mh59ncn4fk1dftgnao', 'name': '2022.07.26_Construction Inspection Report.PDF', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 2201762, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/5d5jl00o1l72j2go86iigqilik'}]","{'name': None, 'file_name': '2022.07.26_Construction Inspection Report.PDF', 'url': 'https://api.oilandgaswatch.org/d/96/15/9615787944ef462491f10cd912f7e930.1665166987.pdf'}",26.81,FEIS pg 341 (Table 4.12-9),New compressor associated the Driftwood LNG export terminal and pipeline.,Compressor Station,True,AS 10/7/22: updated in-service date to match pipeline ,14839774.0,55285432.0,6.15,24.22,EIP Test Account,2741,2741,Louisa Markow,Basile Compressor Station (CS-02) - Initial Construction,"{'createdAt': '2021-05-24T22:56:59.087Z', 'updatedAt': '2024-07-30T17:44:05.647264Z', 'version': 47}",,2022-10-07T00:00:00Z,,2026,,,,,,
2022,2022,70.14,Expansion,,,,0.057,114.0,Petrochemicals and Plastics,,29.91,Operating,"[{'id': 'pm05um2d255mh2sr2b85mgt39k', 'name': '2022.11.11 Notification of Construction Completion.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 304789, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/t1mrmt968h2rvbrl61f1qe2qgs'}]","{'name': None, 'file_name': '2022.11.11 Notification of Construction Completion.pdf', 'url': 'https://api.oilandgaswatch.org/d/f4/82/f4823ada46db43f0b263ab0e401d939e.1686333961.pdf'}",7.52,0840-00003-V7 (issued 3/21/2018); 0840-00003-V8 (issued 3/8/2019); 0840-00003-V9 (Issued 11/14/2019); Emissions are the sum of emissions increases/decreases from V7-V9 permits,"Construction of a second polypropylene line, which increased polypropylene capacity by 450,000 tons per year.",Plastic Resin Manufacturing,True,"operating announcement: https://www.hydrocarbonprocessing.com/news/2022/12/exxonmobil-doubles-polypropylene-production-at-baton-rouge

Louisiana Economic Development Agency
https://www.opportunitylouisiana.com/led-news/news-releases/news/2020/12/16/gov.-edwards-announces-potential-exxonmobil-baton-rouge-investment

Company website, available at: https://corporate.exxonmobil.com/News/Newsroom/News-releases/2019/0301_ExxonMobil-to-fund-polypropylene-unit-to-expand-Baton-Rouge-operations

Inspection Report (6/24/2021)
https://edms.deq.louisiana.gov/app/doc/view?doc=12832468

2022 anticipated startup: https://www.theadvocate.com/baton_rouge/news/business/article_11437e94-2c3d-11ec-88ef-0ba4d3ad3e2b.html ""In November 2019, ExxonMobil broke ground for its more than $500 million polypropylene project that will create 65 new jobs, result in 219 new indirect jobs, generate 600 construction jobs and double the capacity at the Baton Rouge Polyolefins Plant.""

https://www.opportunitylouisiana.com/led-news/news-releases/news/2020/12/16/gov.-edwards-announces-potential-exxonmobil-baton-rouge-investment",,,0.09,48.11,EIP Test Account,2742,2742,Alexandra Shaykevich,Baton Rouge Polyolefins - Polypropylene Line No. 2,"{'createdAt': '2021-05-24T22:56:59.087Z', 'updatedAt': '2024-04-08T17:48:12.330589Z', 'version': 7}",Polypropylene,2023-02-01T00:00:00Z,500.0,,,,,,,
2024,2024,,Expansion,,,,,,Oil,,,Operating,"[{'id': 'n20cd15gt57ur90hs46n6g47as', 'name': 'BRRIC-Update.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 3971737, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/iidej2m3bh6jl3jca25hhkhl5s'}]","{'name': 'ExxonMobil BRRIC Update 2021', 'file_name': 'BRRIC-Update.pdf', 'url': 'https://api.oilandgaswatch.org/d/66/7c/667c188dd8794d0abf9271d9db581fb3.1686586146.pdf'}",,"AS 6/12/23 - there are, like, 1 million TV permits for this site and any one of them could be related to the BRRIC project. most are minor mods/renewals and don't result in emissions increases...; ","These projects aim to modernize distillation facilities, improve efficiency of coker units, add capacity to the Baton Rouge docks, and add pollution controls to reduce volatile organic chemical emissions by 10 percent.",Refinery,True,"completed Jan 2024: https://www.ogj.com/home/article/14304029/exxonmobils-baton-rouge-refinery-wraps-3-year-modernization-program?o_eid=9171F0866212A7N&oly_enc_id=9171F0866212A7N&rdx.ident[pull]=omeda|9171F0866212A7N&utm_campaign=CPS240124097&utm_medium=email&utm_source=OGJ+Daily

A decision to proceed could come from ExxonMobil in 2021 (Louisiana Economic Development Agency). Expected completion date = 11/1/2023

https://www.opportunitylouisiana.com/led-news/news-releases/news/2020/12/16/gov.-edwards-announces-potential-exxonmobil-baton-rouge-investment

https://www.hydrocarbonprocessing.com/news/2021/06/exxonmobil-refinery-to-receive-more-than-240-mm-in-upgrades Total # of permanent jobs promised = 20
Retain 1,300 existing jobs, plus 600 construction jobs, and 20 jobs for graduates of the North Baton Rouge Industrial Training Initiative

FID announced in 6/2021. Total # of permanent jobs promised = 20. Got subsidies from Louisiana Economic Development 6/9/21

https://www.opportunitylouisiana.com/led-news/news-releases/news/2021/06/09/gov.-edwards-announces-exxonmobil-refinery-investment-in-baton-rouge.

Fastlane project ID 20200425-ITE
https://fastlaneng.louisianaeconomicdevelopment.com/public/search/bi",,,,,EIP Test Account,2743,2743,Keene Kelderman,Baton Rouge Refinery - Integrated Competitiveness (BRRIC) Suite,"{'createdAt': '2021-05-24T22:56:59.087Z', 'updatedAt': '2024-04-08T17:48:12.419015Z', 'version': 7}",,2024-01-24T00:00:00Z,410.0,,,,,,,
2018,2018,19.24,Expansion,0.01,5739.0,28406.0,,,Petrochemicals and Plastics,6.0,66.58,Operating,[],,1.2,PSDTX1400 & 118403 (issued 1/22/2016); ,Construction of a new n-Propanol manufacturing unit (“PrOH-II”) at the Bay City chemicals plant in Matagorda county. The new unit would be capable of producing 330 million pounds per year of n-Propanol from ethylene. ,Other Organic Chemicals,True,"Construction began in March 2017:https://www.businesswire.com/news/home/20170316005792/en/Oxea-Builds-Second-Propanol-Unit-at-Bay-City-Texas

Operations began in September 2018:
https://baycitytribune.com/community/article_e8895a2a-c35b-11e8-8daa-1b7a2d16c999.html The plant will be capable of producing 330 million pounds per year (MMlb/yr) of PrOH and 140 MMlb/yr of propionaldehyde (PrH).

Facilities for loading of products produced at PrOH-II are located at the neighboring Celanese complex and are not authorized with this permit action.",1314244.0,4896204.0,3.4,8.02,EIP Test Account,2744,2744,Alexandra Shaykevich,OQ Chemicals Bay City Propanol II Unit,"{'createdAt': '2021-05-24T22:56:59.087Z', 'updatedAt': '2024-07-30T17:44:06.419499Z', 'version': 45}",,,,,,,,,,
2016,2016,468.94,Expansion,0.62,519705.0,2572215.0,,,Petrochemicals and Plastics,526.0,-99.39,Operating,"[{'id': 'hd98bdlcp11fv3o4vggrspa0j4', 'name': '2016.4.28_Air Liquide - Bayport Complex_Project Completion - Press Release.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 266420, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/fr88markf15ar0576al5npscqc'}]","{'name': None, 'file_name': '2016.4.28_Air Liquide - Bayport Complex_Project Completion - Press Release.pdf', 'url': 'https://api.oilandgaswatch.org/d/b9/bf/b9bfd377eafc4d08a68b6d6655b9b95c.1638887055.pdf'}",39.37,"Emissions taken from initial 2013 permit, technical review, net emissions in/decreases. GHGs from initial EPA permit, pg 8.

TCEQ Permit No. 9346 amended 9/26/2014 to authorize MSS emissions; revised 9/13/2013 and 12/21/2018 to correct typographical error and revise special conditions. Amended 5/13/2019 to change Special Conditions relating to the criteria for boilers and combustion turbines to be considered in MSS. No emissions increases associated w/ subsequent permit mods.",Replacement of four gas-fired turbines and three boilers at the Bayou Cogeneration Plant,Associated Electricity Generation,True,"Construction began November 2013 and concluded in February 2016:
https://www.airliquide.com/united-states-america/air-liquide-completes-major-upgrade-expansion-its-bayport-industrial-complex Total project costs = $230 million

Company website, available at: https://www.airliquide.com/united-states-america/air-liquide-completes-major-upgrade-expansion-its-bayport-industrial-complex",119007218.0,443360224.0,10.99,17.36,EIP Test Account,2745,2745,Alexandra Shaykevich,"Bayou Cogeneration Plant, Turbine Replacement Project","{'createdAt': '2021-05-24T22:56:59.087Z', 'updatedAt': '2024-07-30T17:44:07.113545Z', 'version': 47}",,,230.0,,,,,,,
2018,2018,1082.24,Expansion,0.35,293632.0,1453293.0,,,Petrochemicals and Plastics,297.0,264.19,Operating,"[{'id': '2i0dd665j10d36hp58jvgjso24', 'name': 'ExxonMobil Chemical Baytown Olefins Plant_Company Profile 2021.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 99611, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/at9sv5cs9p0in5c1biekalukok'}]","{'name': None, 'file_name': 'ExxonMobil Chemical Baytown Olefins Plant_Company Profile 2021.pdf', 'url': 'https://api.oilandgaswatch.org/d/99/8a/998a649ab5d4481d893adaa137d30180.1639666828.pdf'}",95.9,"PSD-TX-102982-GHG and GHGPSDTX24 (issued 11/25/2013) (GHG language rescinded in 2016); 102982 (issued 2/19/2014, amended 11/9/2016)

9/21/2022 102982 amendment = project that will increase production of olefins at the BOP-2X Unit. This primarily affects emissions by the addition of a new furnace. (AS 1/9/23 - not sure if BOP-2X is a new unit, or if it was previously authorized); GHGs from initial PSD; criteria from 12/13/22 102982 amendment technical review, total proposed emissions",Construction of a second ethylene unit consisting of eight steam cracking furnaces and associated equipment at the Baytown Olefins Plan. The unit increased the production capacity of the plant by approximately 2 million metric tons per year when first constructed. A permit amendment to increase production capacity once again was submitted in September 2022.,Ethane Cracker,True,"News article:
https://www.rigzone.com/news/exxonmobil_adds_notch_with_baytown_cracker-26-jul-2018-156420-article/

Company website:
https://corporate.exxonmobil.com/Locations/United-States/Baytown-area-operations-overview#Aboutus ",67238686.0,250497066.0,58.33,250.6,EIP Test Account,2746,2746,Lottie Mitchell,ExxonMobil Baytown Olefins - New Ethylene Unit,"{'createdAt': '2021-05-24T22:56:59.087Z', 'updatedAt': '2024-07-30T17:44:07.805057Z', 'version': 47}",Ethylene,2023-08-08T00:00:00Z,,,,,,,,
,Unknown,63.91,Expansion,0.07,55460.0,274494.0,,,Petrochemicals and Plastics,56.0,42.28,Proposed,"[{'id': 'rkkdrpl06h3cr4t18r5v1tcvgs', 'name': '2020.3.5_TPC Group - BD Expansion_Permit Application.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 2327527, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/8gh8vpftvd3u5dfup6at5k6unc'}]","{'name': None, 'file_name': '2020.3.5_TPC Group - BD Expansion_Permit Application.pdf', 'url': 'https://api.oilandgaswatch.org/d/6f/73/6f73b73254024fbca33e1905cfa1fb1c.1636565940.pdf'}",23.08,"AS 2/21/24 - emissions = baseline actual to allowable from final technical review
https://api.oilandgaswatch.org/d/2f/a5/2fa57e4f6e3546d0a24a44a277142173.1655407964.pdf

GHGPSDTX201, PSDTX1578, & 22052; GHGPSDTX202, PSDTX1580, & 46307; GHGPSDTX203, PSDTX999M1, & 46426 (application submitted 3/5/2020, draft permit issued 5/12/2021); The BD expansion will include units authorized under New Source Review (NSR) Permit Nos. 46307, 46426, and 22052. Therefore, a separate amendment application is being included for each permit. However, all new, modified, and affected sources are evaluated under one Federal New Source Review (FNSR) Analysis and one Air Quality Analysis (AQA).",Modifications to expand the production of butadiene and other light olefin products.,Other Organic Chemicals,True,"CM 1/16/24: don't see sins construction has started

TCEQ Permit Application, Form P-1, Section V, available at:
https://www.dropbox.com/sh/dfu434fasxh5pmv/AACRUaUAq_2yu7x6_UBMixF5a?dl=0 ""Associated capital costs for the BD expansion project will be greater than $7.5 million."" -BD Expansion Permit Application (3/5/2020)",12699859.0,47313199.0,3.34,36.66,EIP Test Account,2747,2747,AS,TPC Group - BD Expansion Project,"{'createdAt': '2021-05-24T22:56:59.087Z', 'updatedAt': '2024-07-30T17:44:08.764521Z', 'version': 48}",Butadiene,2024-01-16T00:00:00Z,7.5,Unknown,,,,,,
